driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
77,Mohamed El-Sayed,01233392072,388043195899928,8,morning,bike,2020-12-14,3.79,0.836,0.014,9003,True,2020-12-14 00:00:00,2026-03-18 05:09:35.067333
78,Ali Naguib,01150946121,362021675325262,12,night,car,2020-03-30,3.76,0.897,0.042,21815,True,2020-03-30 00:00:00,2026-03-18 05:09:35.067333
79,Samy Mohamed,01181478283,362672166178123,11,night,bike,2020-06-19,4.14,0.826,0.051,24182,True,2020-06-19 00:00:00,2026-03-18 05:09:35.067333
80,Bassem Abdallah,01226972976,396537850800057,3,morning,motorbike,2022-09-04,4.26,0.897,0.06,10739,True,2022-09-04 00:00:00,2026-03-18 05:09:35.067333
81,Sherif Ahmed,01573586743,366429776512669,2,morning,motorbike,2024-11-22,3.83,0.878,0.016,4271,True,2024-11-22 00:00:00,2026-03-18 05:09:35.067333
82,Wael Naguib,01028029509,272557465887834,17,evening,car,2023-03-13,3.85,0.739,0.003,7492,True,2023-03-13 00:00:00,2026-03-18 05:09:35.067333
83,Karim Saleh,01034100904,347380104499221,3,evening,motorbike,2022-07-22,4.85,0.901,0.024,9872,True,2022-07-22 00:00:00,2026-03-18 05:09:35.067333
84,Mostafa Mostafa,01236393422,123,9,evening,bike,2023-01-15,4.62,0.821,0.061,9841,True,2023-01-15 00:00:00,2026-03-18 05:09:35.067333
85,,01256524207,367105652444853,1,evening,car,2021-12-05,4.48,0.836,0.079,18953,True,2021-12-05 00:00:00,2026-03-18 05:09:35.067333
86,Ashraf Zaki,01571928212,322085144252220,11,morning,bike,2024-10-13,4.14,0.885,0.075,3195,True,2024-10-13 00:00:00,2026-03-18 05:09:35.067333
87,Ahmed Farouk,01077082048,341732677908267,14,evening,bike,2020-06-09,4.53,0.904,0.032,20081,True,2020-06-09 00:00:00,2026-03-18 05:09:35.067333
88,Ahmed El-Din,01286261289,363669826170690,7,evening,bike,2020-09-21,3.6,0.966,0.031,13341,False,2020-09-21 00:00:00,2026-03-18 05:09:35.067333
89,Hazem Abdel-Rahman,01513602203,219780495226072,13,evening,bike,2025-03-14,3.81,0.831,0.023,2444,True,2025-03-14 00:00:00,2026-03-18 05:09:35.067333
90,Ahmed Ahmed,01027332564,364743948489622,7,morning,motorbike,2023-08-10,4.81,0.915,0.025,9545,True,2023-08-10 00:00:00,2026-03-18 05:09:35.067333
91,Essam Abdel-Rahman,01029151794,395123671548905,8,night,car,2024-02-23,3.99,0.751,0.046,5190,True,2024-02-23 00:00:00,2026-03-18 05:09:35.067333
92,Omar Abdel-Rahman,01262491260,245061600675276,6,night,car,2024-02-13,4.6,0.92,0.037,6644,True,2024-02-13 00:00:00,2026-03-18 05:09:35.067333
93,Amr Tawfik,01299477179,267881098793914,18,morning,bike,2020-10-08,4.99,0.843,0.006,9754,True,2020-10-08 00:00:00,2026-03-18 05:09:35.067333
94,Sherif Ahmed,01095747226,358362968803655,13,morning,motorbike,2019-07-02,4.1,0.752,0.001,12942,True,2019-07-02 00:00:00,2026-03-18 05:09:35.067333
95,Ashraf Mansour,01168750274,234005265281343,1,night,motorbike,2019-12-05,3.65,0.815,0.024,16697,True,2019-12-05 00:00:00,2026-03-18 05:09:35.067333
96,Nabil El-Sayed,01114623108,264971727915324,10,evening,car,2023-12-10,3.58,0.768,0.0,8281,False,2023-12-10 00:00:00,2026-03-18 05:09:35.067333
97,Tarek Mostafa,,223597360881631,6,night,bike,2023-09-24,3.75,0.816,0.033,3652,True,2023-09-24 00:00:00,2026-03-18 05:09:35.067333
98,Hussein Shaker,01041193292,260182852660439,11,morning,bike,2023-06-07,3.52,0.968,0.052,3296,True,2023-06-07 00:00:00,2026-03-18 05:09:35.067333
99,Ramy Khalil,01165176483,394283439830648,16,morning,car,2019-06-29,4.57,0.856,0.063,26407,True,2019-06-29 00:00:00,2026-03-18 05:09:35.067333
100,Youssef Shaker,01154566533,219502538392982,11,morning,motorbike,2023-05-11,4.41,0.945,0.047,6968,True,2023-05-11 00:00:00,2026-03-18 05:09:35.067333
76,Nabil El-Masry,01058696493,260367398153116,1,night,car,2023-06-28,3.67,0.794,0.023,5111,True,2023-06-28 00:00:00,2026-03-18 05:09:35.067333
